NAME,SUBSCRIPT,DEFAULT_VALUE,DESCRIPTION,DIMENSIONS
CY2,n,0.0,Function coefficient of :math:`y^2` for subcomponent :envvar:`n`,[1/L\ :sup:`2`]
CZ2,n,0.0,Function coefficient of :math:`z^2` for subcomponent :envvar:`n`,[1/L\ :sup:`2`]
CRXY,n,0.0,Function coefficient of :math:`\sqrt{x^2 + y^2}` for subcomponent :envvar:`n`,[1/L]
CDUM,n,0.0,Dummy function coefficient for subcomponent :envvar:`n` for customizing functions.,VARIES
MAGN,n,1.0,Magnification (scaling) factor for subcomponent :envvar:`n`,NON-DIM
MAGNX,n,1.0,Scaling factor in x-direction for subcomponent :envvar:`n`,NON-DIM
MAGNY,n,1.0,Scaling factor in y-direction for subcomponent :envvar:`n`,NON-DIM
MAGNZ,n,1.0,Scaling factor in z-direction for subcomponent :envvar:`n`,NON-DIM
ROTX,n,0°,"Subcomponent :envvar:`n` rotation about x-axis in degrees, positive in right hand sense",[DEGREES]
ROTY,n,0°,Subcomponent :envvar:`n` rotation about y-axis in degrees,[DEGREES]
ROTZ,n,0°,Subcomponent :envvar:`n` rotation about z-axis in degrees,[DEGREES]
TRNX,n,0.0,Subcomponent :envvar:`n` translation in x-direction,[L]
TRNY,n,0.0,Subcomponent :envvar:`n` translation in y-direction,[L]
TRNZ,n,0.0,Subcomponent :envvar:`n` translation in z-direction,[L]
XTRFC,n,0.0,x-coordinate of transformation center for subcomponent :envvar:`n`,[L]
YTRFC,n,0.0,y-coordinate of transformation center for subcomponent :envvar:`n`,[L]
ZTRFC,n,0.0,z-coordinate of transformation center for subcomponent :envvar:`n`,[L]
IVR,n,0,Cooling channel activation flag for subcomponent :envvar:`n`,NONE
CCTIME,"t,n",0.0,Time table for the time dependent properties of the cooling channel,[t]
CCTEMP,"t,n",...,"Temperature of the cooling channel between time :envvar:`CCTIME(t,n)` and :envvar:`CCTIME(t+1,n)`",[T]
FCCTEMP,n,,The external filename for tabular temperature of the cooling channel subcomponent :envvar:`n` as a function of time (used only if :envvar:`ICCTEMPC(n)` :math:`\geq` 2),NONE
ICCTEMPC,n,0,The column number for temperature of the cooling channel subcomponent :envvar:`n` in the external file,NONE
HCCT,"t,n",0.0,"Heat transfer coefficient between the cooling channel subcomponent :envvar:`n` and its component :envvar:`m` between time :envvar:`CCTIME(t,n)` and :envvar:`CCTIME(t+1,n)`",[M t :sup:`-3` T :sup:`-1` ]
FHCCT,n,,The external filename for tabular heat transfer coefficient between the cooling channel subcomponent :envvar:`n` and its component :envvar:`m` as a function of time (used only if :envvar:`IHCCTC(n)` :math:`\geq` 2),NONE
IHCCTC,n,0,The column number for heat transfer coefficient between the cooling channel subcomponent :envvar:`n` and its component :envvar:`m` in the external file,NONE
ICCCONTROL,n,1,On/off control mode for the cooling channel,NONE
ICCTIME,"t,n",1,On/off status for the cooling channel,NONE
FICCTIME,n,,The external filename for tabular on/off status for the cooling channel subcomponent :envvar:`n` as a function of time (used only if :envvar:`ICCTIME(n)` :math:`\geq` 2),NONE
IICCTIMEC,n,0,The column number for on/off status for the cooling channel subcomponent :envvar:`n` in the external file,NONE
ICCPRB,n,0,Probe number controlling the on/off status of the cooling channel,NONE
CCTC1,n,...,Turn-on temperature at probe :envvar:`ICCPRB(n)` for the cooling channel,[T]
CCTC2,n,...,Turn-off temperature at probe :envvar:`ICCPRB(n)` for the cooling channel,[T]
CCHEAT,n,...,Critical total heat to turn off the cooling channel,[M L\ :sup:`2` t\ :sup:`-2`]
IGTRFMVB,m,0,Flag to apply component transformations to the body-fixed coordinate system for GMO component :envvar:`m`. ,NONE
GMAGN,m,1.0,Magnification (scaling) factor for component :envvar:`m`,NONE
GROTX,m,0.0,"Rotation of component :envvar:`m` about x-axis, positive in right hand",[Degrees]
GROTY,m,0.0,"Rotation of component :envvar:`m` about y-axis, positive in right hand",[Degrees]
GROTZ,m,0.0,"Rotation of component :envvar:`m` about z-axis, positive in right hand",[Degrees]
GTRNX,m,0.0,Translation of component :envvar:`m` in x-direction,[L]
GTRNY,m,0.0,Translation of component :envvar:`m` in y-direction,[L]
GTRNZ,m,0.0,Translation of component :envvar:`m` in z-direction,[L]
GXTRFC,m,0.0,x-coordinate of transformation center for component :envvar:`m`,[L]
GYTRFC,m,0.0,y-coordinate of transformation center for component :envvar:`m`,[L]
GZTRFC,m,0.0,z-coordinate of transformation center for component :envvar:`m`,[L]
