NAME,DEFAULT_VALUE,DESCRIPTION,UNITS,SET_VALUE
omyamp(5),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
omyfre(5),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
omyphs(5),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
omzamp(5),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
omzfre(5),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
omzphs(5),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
burnigntemp(5),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
burna(5),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,1.0e-05
burnb(5),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0.5
ikobs(5),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,1
"twobs(1, 5)",MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,25
"hobvt1(1, 5)",MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,40
qsrncg(5),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0.0
rsatqsr(5),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0.0
saobs_c(5),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0.0
"vtpres(1, 5)",MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,101300
"vttemp(1, 5)",MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,25
vtf_min(5),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0.0
sqp_time(5),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
sqp_force(5),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
sqp_solid(5),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,1.0
uspng(5),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
vspng(5),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
wspng(5),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
c0spng(5),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0.0
c1spng(5),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,1.0
opmass_restit(5),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,1.0
opgas_restit(5),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,1.0
opliquid_restit(5),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,1.0
opliquidsd_restit(5),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,1.0
opvoid_restit(5),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,1.0
pq2_gate_area(5),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
sqp_x1(5),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
sqp_y1(5),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
sqp_z1(5),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
sqp_x2(5),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
sqp_y2(5),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
sqp_z2(5),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
exotime(5),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
exotemp(5),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,-273.15
exoq(5),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
exotau(5),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
nprobes_sqp(5),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
cyc_trans_x(5),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
cyc_trans_y(5),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
cyc_trans_z(5),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
"itpobs_time(1, 5)",MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,1
shell_thobs(5),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
rad_cluster_angle(5),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,30
hobem(5),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0.0
gxtrfc(5),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
gytrfc(5),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
gztrfc(5),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
gmagn(5),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,1.0
grotx(5),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
groty(5),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
grotz(5),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
gtrnx(5),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
gtrny(5),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
gtrnz(5),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
xaxs0(5),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
yaxs0(5),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
zaxs0(5),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
delay_plunger(5),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
obsid(6),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,'Sand Mold 1'
iob(6),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,6
subcmpid(6),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,'Remaining Space 1'
roughsub(6),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
rcmansub(6),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0.0
magn(6),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,1
magnx(6),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,1.0
magny(6),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,1.0
magnz(6),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,1.0
cc(6),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,-1
cx2(6),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
cx(6),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
cxy(6),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
cxz(6),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
cy2(6),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
cy(6),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
cyz(6),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
cz2(6),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
cz(6),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
cdum(6),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0.0
"cctime(1, 6)",MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
"cctemp(1, 6)",MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,24.85
"hcct(1, 6)",MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
"icctime(1, 6)",MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,1
rtorin(6),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,-1
rtorout(6),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,-1
iob(7),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,6
subcmpid(7),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,'Casting Part 1'
ioh(7),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
igen(7),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,3
fstl(7),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,'../Filling/Casting Part 1.stl'
roughsub(7),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
rcmansub(7),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0.0
magn(7),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0.001
magnx(7),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,1.0
magny(7),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,1.0
magnz(7),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,1.0
cc(7),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0.0
cx2(7),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
cx(7),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
cxy(7),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
cxz(7),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
cy2(7),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
cy(7),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
cyz(7),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
cz2(7),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
cz(7),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
cdum(7),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0.0
"cctime(1, 7)",MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
"cctemp(1, 7)",MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,24.85
"hcct(1, 7)",MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
"icctime(1, 7)",MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,1
rtorin(7),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,-1
rtorout(7),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,-1
iob(8),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,6
subcmpid(8),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,'Casting Part 2'
ioh(8),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
igen(8),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,3
fstl(8),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,'../Filling/Casting Part 2.stl'
roughsub(8),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
rcmansub(8),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0.0
magn(8),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0.001
magnx(8),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,1.0
magny(8),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,1.0
magnz(8),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,1.0
cc(8),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0.0
cx2(8),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
cx(8),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
cxy(8),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
cxz(8),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
cy2(8),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
cy(8),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
cyz(8),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
cz2(8),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
cz(8),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
cdum(8),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0.0
"cctime(1, 8)",MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
"cctemp(1, 8)",MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,24.85
"hcct(1, 8)",MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
"icctime(1, 8)",MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,1
rtorin(8),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,-1
rtorout(8),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,-1
iob(9),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,6
subcmpid(9),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,'Riser'
ioh(9),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
igen(9),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,3
fstl(9),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,'../Filling/Riser.stl'
roughsub(9),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
rcmansub(9),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0.0
magn(9),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0.001
magnx(9),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,1.0
magny(9),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,1.0
magnz(9),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,1.0
cc(9),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0.0
cx2(9),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
cx(9),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
cxy(9),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
cxz(9),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
cy2(9),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
cy(9),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
cyz(9),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
cz2(9),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
cz(9),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
cdum(9),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0.0
"cctime(1, 9)",MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
"cctemp(1, 9)",MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,24.85
"hcct(1, 9)",MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
"icctime(1, 9)",MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,1
rtorin(9),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,-1
rtorout(9),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,-1
ifsoft(6),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,1
lthobs(6),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0.01
ilthobs(6),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
robs(6),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,1
hobs1s(6),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,400
rough(6),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0.0001
rcman(6),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0.0
oechrg(6),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
oepotzt(6),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
oecond(6),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
odiel(6),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0.0
opor(6),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0.0
"ospin(1, 6)",MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
noblds(6),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
oblthk(6),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
alphwobs(6),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
xnwobs(6),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,1.0
xmwobs(6),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,1.0
alphdobs(6),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
xndobs(6),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,1.0
xmdobs(6),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,1.0
xfrco(6),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
yfrco(6),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
zfrco(6),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
famp(6),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
freq(6),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
fphs(6),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
rcobs(6),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,7.2e+05
kobs(6),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,1.4
xkobs(6),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,1.0
ykobs(6),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,1.0
zkobs(6),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,1.0
hobs1(6),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,600
uamp(6),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
ufre(6),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
uphs(6),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
vamp(6),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
vfre(6),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
vphs(6),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
wamp(6),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
wfre(6),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
wphs(6),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
omxamp(6),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
omxfre(6),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
omxphs(6),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
omyamp(6),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
omyfre(6),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
omyphs(6),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
omzamp(6),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
omzfre(6),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
omzphs(6),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
burnigntemp(6),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
burna(6),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,1.0e-05
burnb(6),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0.5
"twobs(1, 6)",MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,25
"hobvt1(1, 6)",MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,20
qsrncg(6),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0.0
rsatqsr(6),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0.0
saobs_c(6),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0.0
"vtpres(1, 6)",MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,101300
"vttemp(1, 6)",MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,25
vtf_min(6),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0.0
sqp_time(6),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
sqp_force(6),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
sqp_solid(6),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,1.0
uspng(6),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
vspng(6),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
wspng(6),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
c0spng(6),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0.0
c1spng(6),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,1.0
opmass_restit(6),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,1.0
opgas_restit(6),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,1.0
opliquid_restit(6),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,1.0
opliquidsd_restit(6),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,1.0
opvoid_restit(6),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,1.0
pq2_gate_area(6),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
sqp_x1(6),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
sqp_y1(6),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
sqp_z1(6),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
sqp_x2(6),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
sqp_y2(6),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
sqp_z2(6),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
exotime(6),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
exotemp(6),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,-273.15
exoq(6),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
exotau(6),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
nprobes_sqp(6),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
cyc_trans_x(6),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
cyc_trans_y(6),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
cyc_trans_z(6),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
"itpobs_time(1, 6)",MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,1
shell_thobs(6),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
rad_cluster_angle(6),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,30
hobem(6),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0.0
gxtrfc(6),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
gytrfc(6),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
gztrfc(6),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
gmagn(6),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,1.0
grotx(6),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
groty(6),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
grotz(6),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
gtrnx(6),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
gtrny(6),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
gtrnz(6),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
xaxs0(6),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
yaxs0(6),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
zaxs0(6),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
delay_plunger(6),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
ifob(7),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,8
obsid(7),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,'Sampling volume 1'
iob(10),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,7
subcmpid(10),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,'Subvolume 1'
igen(10),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,3
fstl(10),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,'../Filling/Casting Part 1.stl'
roughsub(10),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
rcmansub(10),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0.0
magn(10),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0.001
magnx(10),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,1.0
magny(10),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,1.0
magnz(10),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,1.0
