NAME,SUBSCRIPT,DEFAULT_VALUE,DESCRIPTION,UNITS,SET_VALUE,REMARK
OMXAMP,4,0.0,"Amplitude of sinusoidal x'- angular velocity in body system, in rad/s",radians/s,0,
OMXFRE,4,0.0,"Frequency of sinusoidal x'- angular velocity in body system, in Hz",1/s,0,
OMXPHS,4,0.0,"Initial phase of sinusoidal x'- angular velocity in body system, in degrees",DEGREES,0,
OMYAMP,4,0.0,"Amplitude of sinusoidal y'- angular velocity in body system, in rad/s",radians/s,0,
OMYFRE,4,0.0,"Frequency of sinusoidal y'- angular velocity in body system, in Hz",1/s,0,
OMYPHS,4,0.0,"Initial phase of sinusoidal y'- angular velocity in body system, in degrees",DEGREES,0,
OMZAMP,4,0.0,"Amplitude of sinusoidal z'- angular velocity in body system, in rad/s",radians/s,0,
OMZFRE,4,0.0,"Frequency of sinusoidal z'- angular velocity in body system, in Hz",1/s,0,
OMZPHS,4,0.0,"Initial phase of sinusoidal z'- angular velocity in body system, in degrees",DEGREES,0,
BURNIGNTEMP,4,0.0 degrees C or F,Threshold temperature below which combustible component :envvar:`m` does not burn.,K,0,
BURNA,4,1.0e-05,The combustion front velocity in the solid.,cm :sup:-1,1.0e-05,
BURNB,4,0.5,A dummy variable that can be used to customize the burn rate equation.   ,NONE    ,0.5,
TWOBS,"1, 4",TBCD,,Uniform temperature for component :envvar:`m`,[T],25,
HOBVT1,"1, 4",0.0,Time-dependent component :envvar:`m` heat transfer to void,g K^-1 s^-3,20,
QSRNCG,4,0.0,Volume fraction of the non-condensable gas component in the gas phase at mass source :envvar:`m`,NON-DIM,0.0,
RSATQSR,4,0.0,Relative saturation of the vapor component in the gas phase at mass source :envvar:`m`,NON-DIM,0.0,
SAOBS_C,4,0.0,"Total surface area for heat transfer for component :envvar:`m` without cores/liners, including surface area at parting lines and roughness effects defined by the area multiplier :envvar:`ROBS(m)`.",NONE,0.0,
VTPRES,"1, 4",PVOID,External vent pressure at time :envvar:`TOBS(t)`,g cm^-1 s^-2,101300,
VTTEMP,"1, 4",TVOID,External vent temperature at time :envvar:`TOBS(t)`,K,25,
VTF_MIN,4,0.0,Fluid fraction at vent :envvar:`m` below which fluid #1 is allowed to escape through the vent. ,NON-DIM,0.0,
SQP_TIME,4,0.0,Squeeze pin activation time,s,0,
SQP_FORCE,4,0.0,Constant force applied to squeeze pin,g cm s^-2,0,
SQP_SOLID,4,1.0,Fraction of pin's surface covered by solid when its movement stops,NONE,1.0,
USPNG,4,0.0,x-component of background stream velocity,cm/s,0,
VSPNG,4,0.0,y-component of background stream velocity,cm/s,0,
WSPNG,4,0.0,z-component of background stream velocity,cm/s,0,
C0SPNG,4,0.0,damping coefficient at the starting side of the wave absorbing layer,1/s,0.0,
C1SPNG,4,1.0,damping coefficient at the end side of the wave absorbing layer,1/s,1.0,
OPMASS_RESTIT,4,1.0,Mass particle coefficient of restitution for component :envvar:`m`,NON-DIM ,1.0,
OPGAS_RESTIT,4,1.0,Gas particle coefficient of restitution for component :envvar:`m`,NON-DIM,1.0,
OPLIQUID_RESTIT,4,1.0,Fluid particle coefficient of restitution for component :envvar:`m` for particles in liquid state,NON-DIM,1.0,
OPLIQUIDSD_RESTIT,4,1.0,Fluid particle coefficient of restitution for component :envvar:`m` for particles in solid state. Used when :envvar:`IFSLD` = 1.,NON-DIM,1.0,
OPVOID_RESTIT,4,1.0,Void particle coefficient of restitution for component :envvar:`m`,NON-DIM               ,1.0,
pq2_gate_area,4,MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0,
SQP_X1,4,0,x coordinate of point #1 that defines the direction of the squeeze pin's motion.,cm,0,
SQP_Y1,4,0,Y coordinate of point #1 that defines the direction of the squeeze pin's motion.,cm,0,
SQP_Z1,4,0,Z coordinate of point #1 that defines the direction of the squeeze pin's motion.,cm,0,
SQP_X2,4,0,x coordinate of point #2 that defines the direction of the squeeze pin's motion.,cm,0,
SQP_Y2,4,0,y coordinate of point #2 that defines the direction of the squeeze pin's motion.,cm,0,
SQP_Z2,4,0,z coordinate of point #2 that defines the direction of the squeeze pin's motion.,cm,0,
exotime,4,MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0,
exotemp,4,MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,-273.15,
exoq,4,MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0,
exotau,4,MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0,
NPROBES_SQP,4,0,Number of local probe conditions for the activation event (used if :envvar:`IF_GLOBAL_SQP(m)` = 1),NONE,0,
CYC_TRANS_X,4,0.0,Component displacement in x direction during spray cooling,cm,0,
CYC_TRANS_Y,4,0.0,Component displacement in y direction during spray cooling,cm,0,
CYC_TRANS_Z,4,0.0,Component displacement in y direction during spray cooling,cm,0,
ITPOBS_TIME,"1, 4",1,on/off status table for power component :envvar:`m`,NONE,1,
SHELL_THOBS,4,0.0,Shell mold thickness for component :envvar:`m`,cm,0,
rad_cluster_angle,4,MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,30,
hobem,4,MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0.0,
GXTRFC,4,0.0,x-coordinate of transformation center for component :envvar:`m`,cm,0,
GYTRFC,4,0.0,y-coordinate of transformation center for component :envvar:`m`,cm,0,
GZTRFC,4,0.0,z-coordinate of transformation center for component :envvar:`m`,cm,0,
GMAGN,4,1.0,Magnification (scaling) factor for component :envvar:`m`,NONE,1.0,
GROTX,4,0.0,"Rotation of component :envvar:`m` about x-axis, positive in right hand",Degrees,0,
GROTY,4,0.0,"Rotation of component :envvar:`m` about y-axis, positive in right hand",Degrees,0,
GROTZ,4,0.0,"Rotation of component :envvar:`m` about z-axis, positive in right hand",Degrees,0,
GTRNX,4,0.0,Translation of component :envvar:`m` in x-direction,cm,0,
GTRNY,4,0.0,Translation of component :envvar:`m` in y-direction,cm,0,
GTRNZ,4,0.0,Translation of component :envvar:`m` in z-direction,cm,0,
XAXS0,4,0.0,X-coordinate of fixed point or fixed axis in space system,cm,0,
YAXS0,4,0.0,Y-coordinate of fixed point or fixed axis in space system.,cm,0,
ZAXS0,4,0.0,Z-coordinate of fixed point or fixed axis in space system,cm,0,
delay_plunger,4,MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0,
OBSID,5,""" """,Character string allowing user to identify component :envvar:`m` (up to 30 characters),NONE,'Insulating Sleeve 1',
IOB,5,0,Associates subcomponent :envvar:`n` with a particular component,NONE,5,
SUBCMPID,5,""" """,Character string allowing user to identify subcomponent :envvar:`n` (up to 50 characters),NONE,'Insulating Feeder Sleeve',
IGEN,5,0,"Subcomponent generation flag, indicates source of geometric data for region :envvar:`n`",NONE,3,
FSTL,5,:file:`stlfnn.inp`,"File name for stereolithography (STL) CAD data file, where ""nn ""= n.",NONE,'../Filling/Insulating Feeder Sleeve.stl',
ROUGHSUB,5,ROUGH,m,Wall roughness for subcomponent :envvar:`n` for wall shear stress calculations. A roughness of 0.0 corresponds to a smooth surface. :envvar:`ROUGHSUB` < 0 ,[L]    ,0,
RCMANSUB,5,RCMAN(m),Manning roughness coefficient for subcomponent :envvar:`n` that belongs to component :envvar:`m`. Note only value in SI unit is used.,s/cm^1/3,0.0,
MAGN,5,1.0,Magnification (scaling) factor for subcomponent :envvar:`n`,NON-DIM,0.001,
MAGNX,5,1.0,Scaling factor in x-direction for subcomponent :envvar:`n`,NON-DIM,1.0,
MAGNY,5,1.0,Scaling factor in y-direction for subcomponent :envvar:`n`,NON-DIM,1.0,
MAGNZ,5,1.0,Scaling factor in z-direction for subcomponent :envvar:`n`,NON-DIM,1.0,
CC,5,-0.1,Function constant coefficient for subcomponent :envvar:`n`,NON-DIM,0.0,
CX2,5,0.0,Function coefficient of :math:`x^2` for subcomponent :envvar:`n`,1/cm^2,0,
CX,5,0.0,Function coefficient of :math:`x` for subcomponent :envvar:`n`,1/cm,0,
CXY,5,0.0,Function coefficient of :math:`xy` for subcomponent :envvar:`n`,1/cm^2,0,
CXZ,5,0.0,Function coefficient of :math:`xz` for subcomponent :envvar:`n`,1/cm^2,0,
CY2,5,0.0,Function coefficient of :math:`y^2` for subcomponent :envvar:`n`,1/cm^2,0,
CY,5,0.0,Function coefficient of :math:`y` for subcomponent :envvar:`n`,1/cm,0,
CYZ,5,0.0,Function coefficient of :math:`yz` for subcomponent :envvar:`n`,1/cm^2,0,
CZ2,5,0.0,Function coefficient of :math:`z^2` for subcomponent :envvar:`n`,1/cm^2,0,
CZ,5,0.0,Function coefficient of :math:`z` for subcomponent :envvar:`n`,1/cm,0,
CDUM,5,0.0,Dummy function coefficient for subcomponent :envvar:`n` for customizing functions.,VARIES,0.0,
CCTIME,"1, 5",0.0,Time table for the time dependent properties of the cooling channel,s,0,
CCTEMP,"1, 5",...,"Temperature of the cooling channel between time :envvar:`CCTIME(t,n)` and :envvar:`CCTIME(t+1,n)`",K,24.85,
HCCT,"1, 5",0.0,"Heat transfer coefficient between the cooling channel subcomponent :envvar:`n` and its component :envvar:`m` between time :envvar:`CCTIME(t,n)` and :envvar:`CCTIME(t+1,n)`",g s :sup:-3 K :sup:-1 ,0,
ICCTIME,"1, 5",1,On/off status for the cooling channel,NONE,1,
RTORIN,5,-1.0,Minor toroid radius,cm,-1,
RTOROUT,5,-1.0,Major toroid radius,cm,-1,
IFSOFT,5,0,Flag to determine the stiffness of the component :envvar:`m` adjacent to solidified fluid region.,NONE,1,
ILTHOBS,5,0,Activates the thermal penetration depth of the component.,NON-DIM,0,
ROBS,5,1.0,Surface area multiplier due to roughness of component :envvar:`m`. This multiplies the cell-face area to give the effective heat transfer area for each cell. No heat transfer at component :envvar:`m` if :envvar:`ROBS(m)` = 0.0.,NON-DIM,1,
HOBS1S,5,...,Heat-transfer coefficient to solidified fluid #1 for component :envvar:`m`,g K^-1 s^-3,400,
ROUGH,5,...,Wall roughness for component :envvar:`m` for wall shear stress calculations. A roughness of 0.0 corresponds to a smooth surface. :envvar:`ROUGH` < 0 ,cm,0.0001,
RCMAN,5,0.0,Manning roughness coefficient on component :envvar:`m`,s/cm^1/3,0.0,
OECHRG,5,0.0,Initial uniform electric charge density in component :envvar:`m`,scoul/cm^3,0,
OEPOTZT,5,0.0,Zeta potential of component :envvar:`m`,g cm^2 scoul^-1 s^-2,0,
OECOND,5,0.0,Electric conductivity for component :envvar:`m`,scoul^2 s g^-1 cm^-3,0,
ODIEL,5,1.0,Dielectric constant (relative permittivity) for component :envvar:`m`.,NON-DIM,0.0,
OPOR,5,...,Component porosity (open volume fraction),NON-DIM,0.0,
OSPIN,"1, 5",0.0,Spin rate for rotating component :envvar:`m` at time :envvar:`TOBS(t)`,radians/s,0,
NOBLDS,5,0,Number of blades for added bladed effects,NONE,0,
OBLTHK,5,0.0,Blade tip thickness in the azimuthal direction (in units of length),cm,0,
ALPHWOBS,5,0.0,Coefficient for Van Genuchten wetting (filling) capillary pressure curve (units are in units of pressure),g cm^-1 s^-2,0,
XNWOBS,5,1.0,Outer exponent for wetting (filling) capillary pressure curve used in Van Genuchten unsaturated porous media model (dimensionless),NON-DIM,1.0,
XMWOBS,5,1.0,Inner exponent for wetting (filling) capillary pressure curve used in Van Genuchten unsaturated porous media model (dimensionless).,NON-DIM,1.0,
ALPHDOBS,5,0.0,Coefficient for Van Genuchten draining capillary pressure curve (units are in units of pressure),g cm^-1 s^-2,0,
XNDOBS,5,1.0,Outer exponent for draining capillary pressure curve used in Van Genuchten unsaturated porous media model (dimensionless).,NON-DIM,1.0,
XMDOBS,5,1.0,Inner exponent for draining capillary pressure curve used in Van Genuchten unsaturated porous media model (dimensionless).,NON-DIM,1.0,
XFRCO,5,0.0,x coordinate of the reference point for torque evaluation for component :envvar:`m`,cm,0,
YFRCO,5,0.0,y coordinate of the reference point for torque evaluation for component :envvar:`m`,cm,0,
ZFRCO,5,0.0,z coordinate of the reference point for torque evaluation for component :envvar:`m`,cm,0,
FAMP,5,0.0,Amplitude of sinusoidal actuator force,g cm s^2,0,
FREQ,5,0.0,Frequency of sinusoidal actuator force,1/s,0,
FPHS,5,0.0,Initial phase of sinusoidal actuator force,DEGREES,0,
RCOBS,5,0.0,"Density times specific heat product for component :envvar:`m`. If :envvar:`RCOBS(m)` :math:`>` 0.0, a dynamic equation is solved for the heat transfer surface temperature.",g cm^-1 K^-1 s^-2,2.25e+05,
XKOBS,5,1.0,Multiplier for x-direction thermal conductivity of component :envvar:`m`,NON-DIM,1.0,
YKOBS,5,1.0,Multiplier for y-direction thermal conductivity of component :envvar:`m`,NON-DIM,1.0,
ZKOBS,5,1.0,Multiplier for z-direction thermal conductivity of component :envvar:`m`,NON-DIM,1.0,
HOBS1,5,-1.0 ,Heat-transfer coefficient to fluid #1 for component :envvar:`m`,g K^-1 s^-3,600,
UAMP,5,0.0,Amplitude of sinusoidal translational x-velocity in space system,cm/s,0,
UFRE,5,0.0,"Frequency of sinusoidal translational x-velocity in space system, in Hz",1/s,0,
UPHS,5,0.0,"Initial phase of sinusoidal translational x-velocity in space system, in degrees",DEGREES,0,
VAMP,5,0.0,Amplitude of sinusoidal translational y-velocity in space system,cm/s,0,
VFRE,5,0.0,"Frequency of sinusoidal translational y-velocity in space system, in Hz",1/s,0,
VPHS,5,0.0,"Initial phase of sinusoidal translational y-velocity in space system, in degrees",DEGREES,0,
WAMP,5,0.0,Amplitude of sinusoidal translational z-velocity in space system,cm/s,0,
WFRE,5,0.0,"Frequency of sinusoidal translational z-velocity in space system, in Hz",1/s,0,
WPHS,5,0.0,"Initial phase of sinusoidal translational z-velocity in space system, in degrees",DEGREES,0,
OMXAMP,5,0.0,"Amplitude of sinusoidal x'- angular velocity in body system, in rad/s",radians/s,0,
OMXFRE,5,0.0,"Frequency of sinusoidal x'- angular velocity in body system, in Hz",1/s,0,
OMXPHS,5,0.0,"Initial phase of sinusoidal x'- angular velocity in body system, in degrees",DEGREES,0,
OMYAMP,5,0.0,"Amplitude of sinusoidal y'- angular velocity in body system, in rad/s",radians/s,0,
OMYFRE,5,0.0,"Frequency of sinusoidal y'- angular velocity in body system, in Hz",1/s,0,
OMYPHS,5,0.0,"Initial phase of sinusoidal y'- angular velocity in body system, in degrees",DEGREES,0,
OMZAMP,5,0.0,"Amplitude of sinusoidal z'- angular velocity in body system, in rad/s",radians/s,0,
OMZFRE,5,0.0,"Frequency of sinusoidal z'- angular velocity in body system, in Hz",1/s,0,
OMZPHS,5,0.0,"Initial phase of sinusoidal z'- angular velocity in body system, in degrees",DEGREES,0,
BURNIGNTEMP,5,0.0 degrees C or F,Threshold temperature below which combustible component :envvar:`m` does not burn.,K,0,
BURNA,5,1.0e-05,The combustion front velocity in the solid.,cm :sup:-1,1.0e-05,
BURNB,5,0.5,A dummy variable that can be used to customize the burn rate equation.   ,NONE    ,0.5,
IKOBS,5,0,Flag for the definition of thermal conductivity of component :envvar:`m`,NONE,1,
TWOBS,"1, 5",TBCD,,Uniform temperature for component :envvar:`m`,[T],25,
HOBVT1,"1, 5",0.0,Time-dependent component :envvar:`m` heat transfer to void,g K^-1 s^-3,40,
QSRNCG,5,0.0,Volume fraction of the non-condensable gas component in the gas phase at mass source :envvar:`m`,NON-DIM,0.0,
RSATQSR,5,0.0,Relative saturation of the vapor component in the gas phase at mass source :envvar:`m`,NON-DIM,0.0,
SAOBS_C,5,0.0,"Total surface area for heat transfer for component :envvar:`m` without cores/liners, including surface area at parting lines and roughness effects defined by the area multiplier :envvar:`ROBS(m)`.",NONE,0.0,
VTPRES,"1, 5",PVOID,External vent pressure at time :envvar:`TOBS(t)`,g cm^-1 s^-2,101300,
VTTEMP,"1, 5",TVOID,External vent temperature at time :envvar:`TOBS(t)`,K,25,
VTF_MIN,5,0.0,Fluid fraction at vent :envvar:`m` below which fluid #1 is allowed to escape through the vent. ,NON-DIM,0.0,
SQP_TIME,5,0.0,Squeeze pin activation time,s,0,
SQP_FORCE,5,0.0,Constant force applied to squeeze pin,g cm s^-2,0,
SQP_SOLID,5,1.0,Fraction of pin's surface covered by solid when its movement stops,NONE,1.0,
USPNG,5,0.0,x-component of background stream velocity,cm/s,0,
VSPNG,5,0.0,y-component of background stream velocity,cm/s,0,
WSPNG,5,0.0,z-component of background stream velocity,cm/s,0,
C0SPNG,5,0.0,damping coefficient at the starting side of the wave absorbing layer,1/s,0.0,
C1SPNG,5,1.0,damping coefficient at the end side of the wave absorbing layer,1/s,1.0,
OPMASS_RESTIT,5,1.0,Mass particle coefficient of restitution for component :envvar:`m`,NON-DIM ,1.0,
OPGAS_RESTIT,5,1.0,Gas particle coefficient of restitution for component :envvar:`m`,NON-DIM,1.0,
OPLIQUID_RESTIT,5,1.0,Fluid particle coefficient of restitution for component :envvar:`m` for particles in liquid state,NON-DIM,1.0,
OPLIQUIDSD_RESTIT,5,1.0,Fluid particle coefficient of restitution for component :envvar:`m` for particles in solid state. Used when :envvar:`IFSLD` = 1.,NON-DIM,1.0,
OPVOID_RESTIT,5,1.0,Void particle coefficient of restitution for component :envvar:`m`,NON-DIM               ,1.0,
pq2_gate_area,5,MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0,
SQP_X1,5,0,x coordinate of point #1 that defines the direction of the squeeze pin's motion.,cm,0,
SQP_Y1,5,0,Y coordinate of point #1 that defines the direction of the squeeze pin's motion.,cm,0,
SQP_Z1,5,0,Z coordinate of point #1 that defines the direction of the squeeze pin's motion.,cm,0,
SQP_X2,5,0,x coordinate of point #2 that defines the direction of the squeeze pin's motion.,cm,0,
SQP_Y2,5,0,y coordinate of point #2 that defines the direction of the squeeze pin's motion.,cm,0,
SQP_Z2,5,0,z coordinate of point #2 that defines the direction of the squeeze pin's motion.,cm,0,
exotime,5,MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0,
exotemp,5,MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,-273.15,
exoq,5,MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0,
exotau,5,MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0,
NPROBES_SQP,5,0,Number of local probe conditions for the activation event (used if :envvar:`IF_GLOBAL_SQP(m)` = 1),NONE,0,
CYC_TRANS_X,5,0.0,Component displacement in x direction during spray cooling,cm,0,
CYC_TRANS_Y,5,0.0,Component displacement in y direction during spray cooling,cm,0,
CYC_TRANS_Z,5,0.0,Component displacement in y direction during spray cooling,cm,0,
ITPOBS_TIME,"1, 5",1,on/off status table for power component :envvar:`m`,NONE,1,
SHELL_THOBS,5,0.0,Shell mold thickness for component :envvar:`m`,cm,0,
rad_cluster_angle,5,MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,30,
hobem,5,MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0.0,
GXTRFC,5,0.0,x-coordinate of transformation center for component :envvar:`m`,cm,0,
GYTRFC,5,0.0,y-coordinate of transformation center for component :envvar:`m`,cm,0,
GZTRFC,5,0.0,z-coordinate of transformation center for component :envvar:`m`,cm,0,
GMAGN,5,1.0,Magnification (scaling) factor for component :envvar:`m`,NONE,1.0,
GROTX,5,0.0,"Rotation of component :envvar:`m` about x-axis, positive in right hand",Degrees,0,
GROTY,5,0.0,"Rotation of component :envvar:`m` about y-axis, positive in right hand",Degrees,0,
GROTZ,5,0.0,"Rotation of component :envvar:`m` about z-axis, positive in right hand",Degrees,0,
GTRNX,5,0.0,Translation of component :envvar:`m` in x-direction,cm,0,
GTRNY,5,0.0,Translation of component :envvar:`m` in y-direction,cm,0,
GTRNZ,5,0.0,Translation of component :envvar:`m` in z-direction,cm,0,
XAXS0,5,0.0,X-coordinate of fixed point or fixed axis in space system,cm,0,
YAXS0,5,0.0,Y-coordinate of fixed point or fixed axis in space system.,cm,0,
ZAXS0,5,0.0,Z-coordinate of fixed point or fixed axis in space system,cm,0,
delay_plunger,5,MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0,
OBSID,6,""" """,Character string allowing user to identify component :envvar:`m` (up to 30 characters),NONE,'Sand Mold 1',
IOB,6,0,Associates subcomponent :envvar:`n` with a particular component,NONE,6,
SUBCMPID,6,""" """,Character string allowing user to identify subcomponent :envvar:`n` (up to 50 characters),NONE,'Remaining Space 1',
ROUGHSUB,6,ROUGH,m,Wall roughness for subcomponent :envvar:`n` for wall shear stress calculations. A roughness of 0.0 corresponds to a smooth surface. :envvar:`ROUGHSUB` < 0 ,[L]    ,0,
RCMANSUB,6,RCMAN(m),Manning roughness coefficient for subcomponent :envvar:`n` that belongs to component :envvar:`m`. Note only value in SI unit is used.,s/cm^1/3,0.0,
MAGN,6,1.0,Magnification (scaling) factor for subcomponent :envvar:`n`,NON-DIM,1,
MAGNX,6,1.0,Scaling factor in x-direction for subcomponent :envvar:`n`,NON-DIM,1.0,
MAGNY,6,1.0,Scaling factor in y-direction for subcomponent :envvar:`n`,NON-DIM,1.0,
MAGNZ,6,1.0,Scaling factor in z-direction for subcomponent :envvar:`n`,NON-DIM,1.0,
CC,6,-0.1,Function constant coefficient for subcomponent :envvar:`n`,NON-DIM,-1,
CX2,6,0.0,Function coefficient of :math:`x^2` for subcomponent :envvar:`n`,1/cm^2,0,
CX,6,0.0,Function coefficient of :math:`x` for subcomponent :envvar:`n`,1/cm,0,
CXY,6,0.0,Function coefficient of :math:`xy` for subcomponent :envvar:`n`,1/cm^2,0,
CXZ,6,0.0,Function coefficient of :math:`xz` for subcomponent :envvar:`n`,1/cm^2,0,
CY2,6,0.0,Function coefficient of :math:`y^2` for subcomponent :envvar:`n`,1/cm^2,0,
CY,6,0.0,Function coefficient of :math:`y` for subcomponent :envvar:`n`,1/cm,0,
CYZ,6,0.0,Function coefficient of :math:`yz` for subcomponent :envvar:`n`,1/cm^2,0,
CZ2,6,0.0,Function coefficient of :math:`z^2` for subcomponent :envvar:`n`,1/cm^2,0,
CZ,6,0.0,Function coefficient of :math:`z` for subcomponent :envvar:`n`,1/cm,0,
CDUM,6,0.0,Dummy function coefficient for subcomponent :envvar:`n` for customizing functions.,VARIES,0.0,
CCTIME,"1, 6",0.0,Time table for the time dependent properties of the cooling channel,s,0,
CCTEMP,"1, 6",...,"Temperature of the cooling channel between time :envvar:`CCTIME(t,n)` and :envvar:`CCTIME(t+1,n)`",K,24.85,
HCCT,"1, 6",0.0,"Heat transfer coefficient between the cooling channel subcomponent :envvar:`n` and its component :envvar:`m` between time :envvar:`CCTIME(t,n)` and :envvar:`CCTIME(t+1,n)`",g s :sup:-3 K :sup:-1 ,0,
ICCTIME,"1, 6",1,On/off status for the cooling channel,NONE,1,
RTORIN,6,-1.0,Minor toroid radius,cm,-1,
RTOROUT,6,-1.0,Major toroid radius,cm,-1,
IOB,7,0,Associates subcomponent :envvar:`n` with a particular component,NONE,6,
SUBCMPID,7,""" """,Character string allowing user to identify subcomponent :envvar:`n` (up to 50 characters),NONE,'Casting Part 1',
IOH,7,1,Subcomponent type,NONE,0,
IGEN,7,0,"Subcomponent generation flag, indicates source of geometric data for region :envvar:`n`",NONE,3,
FSTL,7,:file:`stlfnn.inp`,"File name for stereolithography (STL) CAD data file, where ""nn ""= n.",NONE,'../Filling/Casting Part 1.stl',
ROUGHSUB,7,ROUGH,m,Wall roughness for subcomponent :envvar:`n` for wall shear stress calculations. A roughness of 0.0 corresponds to a smooth surface. :envvar:`ROUGHSUB` < 0 ,[L]    ,0,
RCMANSUB,7,RCMAN(m),Manning roughness coefficient for subcomponent :envvar:`n` that belongs to component :envvar:`m`. Note only value in SI unit is used.,s/cm^1/3,0.0,
MAGN,7,1.0,Magnification (scaling) factor for subcomponent :envvar:`n`,NON-DIM,0.001,
MAGNX,7,1.0,Scaling factor in x-direction for subcomponent :envvar:`n`,NON-DIM,1.0,
MAGNY,7,1.0,Scaling factor in y-direction for subcomponent :envvar:`n`,NON-DIM,1.0,
MAGNZ,7,1.0,Scaling factor in z-direction for subcomponent :envvar:`n`,NON-DIM,1.0,
CC,7,-0.1,Function constant coefficient for subcomponent :envvar:`n`,NON-DIM,0.0,
CX2,7,0.0,Function coefficient of :math:`x^2` for subcomponent :envvar:`n`,1/cm^2,0,
CX,7,0.0,Function coefficient of :math:`x` for subcomponent :envvar:`n`,1/cm,0,
CXY,7,0.0,Function coefficient of :math:`xy` for subcomponent :envvar:`n`,1/cm^2,0,
CXZ,7,0.0,Function coefficient of :math:`xz` for subcomponent :envvar:`n`,1/cm^2,0,
CY2,7,0.0,Function coefficient of :math:`y^2` for subcomponent :envvar:`n`,1/cm^2,0,
CY,7,0.0,Function coefficient of :math:`y` for subcomponent :envvar:`n`,1/cm,0,
CYZ,7,0.0,Function coefficient of :math:`yz` for subcomponent :envvar:`n`,1/cm^2,0,
CZ2,7,0.0,Function coefficient of :math:`z^2` for subcomponent :envvar:`n`,1/cm^2,0,
CZ,7,0.0,Function coefficient of :math:`z` for subcomponent :envvar:`n`,1/cm,0,
CDUM,7,0.0,Dummy function coefficient for subcomponent :envvar:`n` for customizing functions.,VARIES,0.0,
CCTIME,"1, 7",0.0,Time table for the time dependent properties of the cooling channel,s,0,
CCTEMP,"1, 7",...,"Temperature of the cooling channel between time :envvar:`CCTIME(t,n)` and :envvar:`CCTIME(t+1,n)`",K,24.85,
HCCT,"1, 7",0.0,"Heat transfer coefficient between the cooling channel subcomponent :envvar:`n` and its component :envvar:`m` between time :envvar:`CCTIME(t,n)` and :envvar:`CCTIME(t+1,n)`",g s :sup:-3 K :sup:-1 ,0,
ICCTIME,"1, 7",1,On/off status for the cooling channel,NONE,1,
RTORIN,7,-1.0,Minor toroid radius,cm,-1,
RTOROUT,7,-1.0,Major toroid radius,cm,-1,
IOB,8,0,Associates subcomponent :envvar:`n` with a particular component,NONE,6,
SUBCMPID,8,""" """,Character string allowing user to identify subcomponent :envvar:`n` (up to 50 characters),NONE,'Casting Part 2',
IOH,8,1,Subcomponent type,NONE,0,
IGEN,8,0,"Subcomponent generation flag, indicates source of geometric data for region :envvar:`n`",NONE,3,
FSTL,8,:file:`stlfnn.inp`,"File name for stereolithography (STL) CAD data file, where ""nn ""= n.",NONE,'../Filling/Casting Part 2.stl',
ROUGHSUB,8,ROUGH,m,Wall roughness for subcomponent :envvar:`n` for wall shear stress calculations. A roughness of 0.0 corresponds to a smooth surface. :envvar:`ROUGHSUB` < 0 ,[L]    ,0,
RCMANSUB,8,RCMAN(m),Manning roughness coefficient for subcomponent :envvar:`n` that belongs to component :envvar:`m`. Note only value in SI unit is used.,s/cm^1/3,0.0,
MAGN,8,1.0,Magnification (scaling) factor for subcomponent :envvar:`n`,NON-DIM,0.001,
MAGNX,8,1.0,Scaling factor in x-direction for subcomponent :envvar:`n`,NON-DIM,1.0,
MAGNY,8,1.0,Scaling factor in y-direction for subcomponent :envvar:`n`,NON-DIM,1.0,
MAGNZ,8,1.0,Scaling factor in z-direction for subcomponent :envvar:`n`,NON-DIM,1.0,
CC,8,-0.1,Function constant coefficient for subcomponent :envvar:`n`,NON-DIM,0.0,
CX2,8,0.0,Function coefficient of :math:`x^2` for subcomponent :envvar:`n`,1/cm^2,0,
CX,8,0.0,Function coefficient of :math:`x` for subcomponent :envvar:`n`,1/cm,0,
CXY,8,0.0,Function coefficient of :math:`xy` for subcomponent :envvar:`n`,1/cm^2,0,
CXZ,8,0.0,Function coefficient of :math:`xz` for subcomponent :envvar:`n`,1/cm^2,0,
CY2,8,0.0,Function coefficient of :math:`y^2` for subcomponent :envvar:`n`,1/cm^2,0,
CY,8,0.0,Function coefficient of :math:`y` for subcomponent :envvar:`n`,1/cm,0,
